antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,is_rule_form
"frozenset({'b_meal_4', 'b_max_6'})",frozenset({'insulin_bolus_3'}),0.010752688172043012,0.13172043010752688,0.005376344086021506,0.5,3.795918367346939,0.003959995375187883,1.7365591397849462,2,True
"frozenset({'b_meal_13', 'b_max_14'})",frozenset({'insulin_bolus_4'}),0.010752688172043012,0.12365591397849462,0.005376344086021506,0.5,4.043478260869565,0.004046710602381778,1.7526881720430108,2,True
"frozenset({'b_meal_13', 'b_max_14'})",frozenset({'insulin_bolus_3'}),0.010752688172043012,0.13172043010752688,0.005376344086021506,0.5,3.795918367346939,0.003959995375187883,1.7365591397849462,2,True
"frozenset({'b_max_8', 'b_meal_8'})",frozenset({'insulin_bolus_2'}),0.024193548387096774,0.19086021505376344,0.010752688172043012,0.4444444444444445,2.3286384976525825,0.00613510232396809,1.4564516129032257,2,True
"frozenset({'b_meal_14', 'b_max_14'})",frozenset({'insulin_bolus_6'}),0.01881720430107527,0.10752688172043011,0.008064516129032258,0.42857142857142855,3.9857142857142853,0.006041160827841369,1.5618279569892475,2,True
"frozenset({'b_meal_6', 'b_max_7'})",frozenset({'insulin_bolus_3'}),0.01881720430107527,0.13172043010752688,0.008064516129032258,0.42857142857142855,3.253644314868805,0.005585905885073419,1.519489247311828,2,True
"frozenset({'b_meal_7', 'b_max_8'})",frozenset({'insulin_bolus_2'}),0.026881720430107527,0.19086021505376344,0.010752688172043012,0.4,2.0957746478873243,0.005622037229737543,1.3485663082437276,2,True
"frozenset({'b_meal_7', 'b_max_8'})",frozenset({'insulin_bolus_1'}),0.026881720430107527,0.09408602150537634,0.010752688172043012,0.4,4.251428571428572,0.0082234940455544,1.5098566308243728,2,True
"frozenset({'b_max_11', 'b_meal_7'})",frozenset({'insulin_bolus_2'}),0.013440860215053764,0.19086021505376344,0.005376344086021506,0.4,2.0957746478873243,0.0028110186148687715,1.3485663082437276,2,True
"frozenset({'b_max_10', 'b_meal_6'})",frozenset({'insulin_bolus_7'}),0.013440860215053764,0.07795698924731183,0.005376344086021506,0.4,5.131034482758621,0.0043285350907619384,1.5367383512544803,2,True
"frozenset({'b_max_11', 'b_meal_8'})",frozenset({'insulin_bolus_2'}),0.013440860215053764,0.19086021505376344,0.005376344086021506,0.4,2.0957746478873243,0.0028110186148687715,1.3485663082437276,2,True
"frozenset({'b_meal_14', 'b_max_15'})",frozenset({'insulin_bolus_4'}),0.013440860215053764,0.12365591397849462,0.005376344086021506,0.4,3.234782608695652,0.003714302231471847,1.460573476702509,2,True
"frozenset({'b_meal_14', 'b_max_15'})",frozenset({'insulin_bolus_2'}),0.013440860215053764,0.19086021505376344,0.005376344086021506,0.4,2.0957746478873243,0.0028110186148687715,1.3485663082437276,2,True
"frozenset({'b_meal_10', 'b_max_10'})",frozenset({'insulin_bolus_3'}),0.021505376344086023,0.13172043010752688,0.008064516129032258,0.37499999999999994,2.846938775510204,0.005231818707365013,1.389247311827957,2,True
"frozenset({'b_max_10', 'b_meal_9'})",frozenset({'insulin_bolus_7'}),0.021505376344086023,0.07795698924731183,0.008064516129032258,0.37499999999999994,4.810344827586206,0.0063880217366169495,1.475268817204301,2,True
"frozenset({'b_max_10', 'b_meal_5'})",frozenset({'insulin_bolus_6'}),0.016129032258064516,0.10752688172043011,0.005376344086021506,0.33333333333333337,3.1,0.003642039542143601,1.338709677419355,2,True
"frozenset({'b_max_7', 'b_meal_4'})",frozenset({'insulin_bolus_5'}),0.016129032258064516,0.10215053763440861,0.005376344086021506,0.33333333333333337,3.2631578947368425,0.003728754769337496,1.3467741935483872,2,True
"frozenset({'b_max_12', 'b_meal_11'})",frozenset({'insulin_bolus_1'}),0.016129032258064516,0.09408602150537634,0.005376344086021506,0.33333333333333337,3.542857142857143,0.003858827610128339,1.3588709677419355,2,True
